bill_name,congressgov_link,status,bill_number,chamber,house_sponsors,senate_sponsor,bill_summary,policy_pillar
Mining Schools Act of 2023,https://www.congress.gov/bill/118th-congress/senate-bill/912,Endorsed,S.912,Senate,,"Sen. Barrasso (R-WY), Sen. Manchin (D-WV)","This bill requires the Department of Energy (DOE) to establish a grant program to support domestic mining education. Under the program, DOE must award up to 10 grants each year to mining schools for recruiting and educating mining engineers.",Domestic Critical Mineral Development
Mining Regulatory Clarity Act of 2023,https://www.congress.gov/bill/118th-congress/senate-bill/1281,Endorsed,S.1281,Senate,,"Sen. Cortez Masto (D-NV), Sen. Risch (R-ID) ","This bill sets forth a process to allow mine operations to use, occupy, and conduct operations (e.g., construction of roads and other mining infrastructure activity) on public land regardless of whether a mineral deposit has been discovered on the land.",Domestic Critical Mineral Development
"Modern, Clean, and Safe Trucks Act of 2023",https://www.congress.gov/bill/118th-congress/house-bill/1440,Endorsed,HR. 1440,House,"Rep. LaMalfa (R-CA-1), Rep. Pappas (D-NH-1), Rep. LaHood (R-IL-16), Rep. Blumenauer (D-OR-3)",,This bill repeals the 12% excise tax on the retail sale of heavy trucks and trailers.,EV Market Development
Rare Earth Magnet Manufacturing Production Tax Credit Act of 2023,https://www.congress.gov/bill/118th-congress/house-bill/2849,Endorsed,HR. 2849,House,"Rep. Reschenthaler (R-PA-14), Rep. Swalwell (D-CA-14)",,This bill allows a new tax credit for the domestic production of rare earth magnets. The magnets must be manufactured or produced in the ordinary course of the taxpayer's trade or business. The credit is disallowed if any component rare earth material used to produce such magnets is produced in a non-allied foreign nation.,American EV and Battery Manufacturing
CARS Act,https://www.congress.gov/bill/118th-congress/house-bill/2948,Endorsed,HR. 2948,House,"Rep. Gooden (R-TX-5), Rep. Mast (R-FL-21)",,"The bill states that a State may not prohibit the operation of stinger-steered combination automobile transporters with gross weight of 88,000 pounds or less on any segment of the Interstate System and certain qualifying Federal-aid primary highways.",EV Market Development
Protecting Circuit Boards and Substrates Act of 2023,https://www.congress.gov/bill/118th-congress/house-bill/3249,Endorsed,HR. 3249,House,"Rep. Moore (R-UT-1), Rep. Eshoo (D-CA-18)  ",,"The bill states that a State may not prohibit the operation of stinger-steered combination automobile transporters with gross weight of 88,000 pounds or less on any segment of the Interstate System and certain qualifying Federal-aid primary highways.",American EV and Battery Manufacturing
Patent Eligibility Restoration Act of 2023,https://www.congress.gov/bill/118th-congress/senate-bill/2140,Endorsed,S.2140,Senate,,"Sen. Thom Tillis (R-NC) , Sen. Chris Coons (D-DE)","This legislation eliminates all judicial exceptions to patent eligibility and states that patent eligibility should be determined without consideration of Sections 102, 203 or 112.",American EV and Battery Manufacturing
ONSHORE (Obtaining National and Secure Homeland Operations for Rare Earth Manufacturing Act of 2023 ,https://www.congress.gov/bill/118th-congress/senate-bill/44?q=%7B%22search%22%3A%22Obtaining+National+and+Secure+Homeland+Operations+for+Rare+Earth+Manufacturing+Act+of+2023%22%7D&s=8&r=2,Of Interest,S.44,Senate,,Sen. Marco Rubio (R-FL),"A bill to require the Secretary of Energy to establish a program to incentivize investment in facilities that carry out the metallurgy of rare earth elements and the production of finished rare earth products, and for other purposes.",Domestic Critical Mineral Development
Wireless EV Charging Grant Program ,https://www.congress.gov/bill/118th-congress/house-bill/4636?s=1&r=1,Of Interest,H.R. 4636,House,,"Rep. Haley Stevens (D-MI-11), Rep. Dina Titus (D-NV-1), et al","To direct the Secretary of Transportation to establish a Wireless Electric Vehicle Charging Grant Program, and for other purposes.",EV Charging Infrastructure Deployment
Build It in America Act,https://www.congress.gov/bill/118th-congress/house-bill/3938,Of Interest,H.R. 3938,House,,Rep. Jason Smith (R-MO-8),"Among other things, The bill would leave intact some of the green energy tax credits under the IRA, but would repeal its clean electricity production and investment credits that go into effect in 2025 and would modify the electric vehicles tax credit, including its domestic sourcing requirements. ",EV Market Development
Adverse Effects of EVs Study,https://www.congress.gov/bill/118th-congress/house-bill/4437?overview=closed,Of Interest,H.R. 4437,House,,Rep. David Douzer (R-NC-7),"To require the Comptroller General of the United States to conduct a study to evaluate any adverse effects of electric vehicles on United States infrastructure, and for other purposes.",Performance and Emissions Standards
EV Tax Credit Prohibitions,https://www.congress.gov/bill/118th-congress/house-bill/4441?s=1&r=1,Of Interest,H.R. 4441,House,,"Rep. Keith Self (R-TX-3), Rep. Doug Lamborn (R-CO-5), et al",To amend the Internal Revenue Code of 1986 to prohibit foreign adversaries and certain entities related to such adversaries from claiming certain tax credits relating to electric vehicles.,None
Diesel Emissions Reduction Act (DERA) of 2023,https://www.congress.gov/bill/118th-congress/senate-bill/2195?q=%7B%22search%22%3A%22Diesel+Emissions+Reduction+Act+%28DERA%29+of+2023%22%7D,Of Interest,S. 2195,Senate,,"Sen. Tom Carper (D-DE), Sen. John Barrasso (R-WY), et al",This legislation would reauthorize the DERA program through fiscal year 2029 at its current authorization level of $100 million annually.,Performance and Emissions Standards
Good Samaritan Remediation of Abandoned Hardrock Mines Act,https://www.congress.gov/bill/118th-congress/senate-bill/2781?q=%7B%22search%22%3A%22Good+Samaritan+Remediation+of+Abandoned+Hardrock+Mines+Act%22%7D&s=1&r=1,Of Interest,S. 2781,Senate,,"Sen. Martin Heinrich (D-NM), Sen. James Risch (R-ID), et al","his legislation will make it easier for “Good Samaritans” such as state agencies, local governments, nonprofits, and other groups, to clean up and improve water quality in and around abandoned hardrock mines.",Domestic Critical Mineral Development
BRIDGE to DRC Act of 2023,https://www.congress.gov/bill/118th-congress/house-bill/4548?s=6&r=1&q=%7B%22search%22%3A%22BRIDGE+to+DRC+Act+of+2023%22%7D,Of Interest,H.R. 4548,House,"Rep. John James (R-MI-10), Rep. James Baird (R-IN-4), et al",,"To require a national strategy to secure United States supply chains involving critical minerals sourced from the Democratic Republic of the Congo, and for other purposes.",Domestic Critical Mineral Development
Strategic Mining Bill ,https://www.congress.gov/bill/118th-congress/house-bill/4443?q=%7B%22search%22%3A%5B%22HR+4443%22%5D%7D&s=1&r=1,Of Interest,H.R. 4443,House,"Rep. Chris Smith (R-NJ-4), et al",,"To ensure that certain goods made with child labor or forced labor in the Democratic Republic of the Congo do not enter the United States market, to counter control of strategic metals and minerals by the People's Republic of China, and for other purposes.",Domestic Critical Mineral Development
Vehicle Innovation Act of 2023,https://www.congress.gov/bill/118th-congress/senate-bill/1099,Of Interest,S. 1099,Senate,,"Sen. Gary Peters (D-MI), Sen. Bill Haggerty (D-TN), et al",The Vehicle Innovation Act would strengthen the authority of the Department of Energy’s (DOE) Vehicle Technologies Office to promote partnerships between the public and private sector to improve vehicle fuel efficiency through research and development. The bill would also authorize critical resources for the Vehicle Technologies Office to encourage research to ensure steady funding is available to help manufacturers keep pace with emerging advanced technologies that have the potential to reduce fuel costs in the national vehicle fleet.,EV Market Development
Electric Motorcycle Parity Act of 2023,https://www.congress.gov/bill/118th-congress/senate-bill/1779?q=%7B%22search%22%3A%22Electric+Motorcycle+Parity+Act+of+2023%22%7D&s=7&r=1,Of Interest,S. 1779,Senate,,"Sen. Bob Casey (D-PA), Sen. John Fetterman (D-PA), et al",Make vehicles with fewer than 4 wheels eligible for the 30D clean vehicle tax credit,EV Market Development
Securing America's Critical Minerals Supply Act,https://www.congress.gov/bill/118th-congress/house-bill/1068?q=%7B%22search%22%3A%22Securing+America%27s+Critical+Minerals+Supply+Act%22%7D&s=8&r=1,Of Interest,H.R. 1068,House,"Rep. Randy Weber (R-TX-14), et al",,This bill requires the Department of Energy (DOE) to secure the supply of critical energy resources that are essential to the energy security of the United States.,Domestic Critical Mineral Development
EVs for All Act of 2023,https://www.congress.gov/bill/118th-congress/senate-bill/1704?q=%7B%22search%22%3A%22EVs+for+All+Act+of+2023%22%7D&s=9&r=2,Of Interest,S. 1704,Senate,,"Sen. Alex Padilla (D-CA), Sen. Ed Markey (D-MA), et al","To direct the Secretary of Energy to establish a grant program to facilitate electric vehicle sharing services operated at public housing projects, and for other purposes.",EV Market Development
Hydrogen Fuel Cell  Weight Limits,https://www.congress.gov/bill/118th-congress/house-bill/3447?q=%7B%22search%22%3A%22Hydrogen+Fuel+Cell++Weight+Limits%22%7D&s=10&r=1,Of Interest,H.R. 3447,House,Rep. Greg Stanton (D-AZ-4),,"To amend title 23, United States Code, to authorize a hydrogen powered vehicle to exceed certain weight limits on the Interstate Highway System, and for other purposes.",None
E-BIKE Act,https://www.congress.gov/bill/118th-congress/senate-bill/881?q=%7B%22search%22%3A%22E-BIKE+Act%22%7D&s=1&r=2,Of Interest,S. 881,Senate,,"Sen. Ed Markey (D-MA), et al",This bill allows individual taxpayers a new tax credit for 30% of the cost of a qualified electric bicycle.,None
BIDIRECTIONAL Act,https://www.congress.gov/bill/118th-congress/senate-bill/1548?q=%7B%22search%22%3A%22BIDIRECTIONAL+Act%22%7D&s=2&r=3,Of Interest,S. 1548,Senate,,"Sen. John Hickenlooper (D-CO), Sen. Michael Bennett (D-CO), et al","To require the Secretary of Energy to establish a program to encourage deployment of electric school buses and vehicle-to-grid technologies and applications, and for other purposes.",EV Market Development
BIG WIRES Act,https://www.congress.gov/bill/118th-congress/senate-bill/2827?q=%7B%22search%22%3A%22BIG+WIRES+Act%22%7D&s=3&r=2,Of Interest,S. 2827,Senate,,Sen. John Hickenlooper (D-CO),Require FERC to issue a rule establishing a minimum transfer capacity requirement,None
Advancing America's Interests Act,https://www.congress.gov/bill/118th-congress/house-bill/3535?q=%7B%22search%22%3A%22Advancing+America%27s+Interests+Act%22%7D&s=5&r=1,Of Interest,H.R. 3535,House,"Rep. Donald Beyer (D-VA-8), Rep. David Schewikert (R-AZ-1)",,"The ITC has the power to ban products from entry into the U.S. marketplace and this power has been persistently abused by patent trolls which buy up patents with the sole intent of using them to extract profits or stifle competition. This legislation makes needed reforms to the ITC that ultimately help protect U.S. industries, workers, and consumers.",None
REPAIR Act,https://www.congress.gov/bill/118th-congress/house-bill/906?q=%7B%22search%22%3A%22REPAIR+Act%22%7D&s=6&r=1,Of Interest,H.R. 906,House,"Rep. Brendan Doyle (D-PA-2), Rep. Warren Davidson (R-OH-8), et al",,"The bill requires a motor vehicle manufacturer to provide to a vehicle's owner certain direct, real-time, in-vehicle data generated by the operation of the vehicle that is related to diagnostics, repair, service, wear, and calibration or recalibration of parts and systems of the vehicle.",Performance and Emissions Standards
Michael F. Donoughe Tax Credit for Off Road Electric Vehicles Act,https://www.congress.gov/bill/118th-congress/house-bill/5656?q=%7B%22search%22%3A%22Michael+F.+Donoughe+Tax+Credit+for+Off+Road+Electric+Vehicles+Act%22%7D&s=7&r=1,Of Interest,H.R. 5656,House,Rep. Dean Phillips (D-MN-3),,This bill amends the Internal Revenue Code of 1986 to provide a tax credit for new off-road plug-in electric vehicles.,EV Market Development
Clean Energy Victory Bond Act of 2023,https://www.congress.gov/bill/118th-congress/senate-bill/2893?q=%7B%22search%22%3A%22Clean+Energy+Victory+Bond+Act+of+2023%22%7D&s=8&r=2,Of Interest,S. 2983,Senate,,Sen. Jeff Merkely (D-OR),"The bill directs the Secretary of the Treasury to issue Clean Energy Victory Bonds. The bonds can be used for clean energy projects, which includes EV infrastructure.",EV Charging Infrastructure Deployment
Civilian Climate Corps for Jobs and Justice Act,https://www.congress.gov/bill/118th-congress/senate-bill/2838?q=%7B%22search%22%3A%22Civilian+Climate+Corps+for+Jobs+and+Justice+Act%22%7D&s=9&r=1,Of Interest,S. 2838,Senate,,"Sen. Bernie Sanders (I-VT), Sen. Jeff Merkely (D-OR), et al","This bill amends the National and Community Service Act of 1990 to establish a Civilian Climate Corps to help communities respond to climate change and transition to a clean economy, and for other purposes. Specifically, the bills allows for EV infrastructure projects to be considered as service projects.",EV Charging Infrastructure Deployment
Intergovernmental Critical Minerals Task Force Act,https://www.congress.gov/bill/118th-congress/senate-bill/1871?q=%7B%22search%22%3A%22Intergovernmental+Critical+Minerals+Task+Force+Act%22%7D&s=10&r=1,Of Interest,S. 1871,Senate,,"Sen. Mitt Romney (R-UT), Sen. Gary Peters (D-MI), et al","This bill creates intergovernmental coordination between State, local, Tribal, and territorial jurisdictions, and the Federal Government to combat United States reliance on the People’s Republic of China and other covered countries for critical minerals and rare earth metals, and for other purposes.",Domestic Critical Mineral Development
The Choice in Automobile Retail Sales Act of 2023 ,https://www.congress.gov/bill/118th-congress/house-bill/4468,Of Concern,H.R. 4468,House,"Rep. Andrew Clyde (R-GA-9), Rep. John James (R-MI-10), Rep. Larry Bucshon (R-IN-8), et al",,"Prohibits the EPA from finalizing, implementing, or enforcing a proposed rule with respect to emissions from vehicles, and for other purposes.",Performance and Emissions Standards
The Preserving Choice in Vehicle Purchases Act,https://www.congress.gov/bill/118th-congress/house-bill/1435,Of Concern,H.R.1435,House,"Rep. Robert Latta (R-OH-5), Rep. Gus Bilirakis (R-FL-12), Rep. Jay Obermoolte (R-CA-23), et al",,Amends the Clean Air Act to prevent the elimination of the sale of internal combustion engines.,Performance and Emissions Standards
The No Fuel Credits for Batteries Act of 2023,https://www.congress.gov/bill/118th-congress/house-bill/4469/,Of Concern,H.R. 4469,House,"Rep. Greg Pence (R-IN-6), Rep. Morgan Griffith (R-VA-9), Rep. Mariiannette Miller-Meeks (R-IA-1)",,"Clarifies that eRINs are not authorized for purposes of satisfying the volume of renewable fuel that needs to be contained in transportation fuel for purposes of the Renewable Fuel Program, and for other purposes.",American EV and Battery Manufacturing
"Limit, Save, Grow Act of 2023",https://www.congress.gov/bill/118th-congress/house-bill/2811/,Of Concern,H.R.2811,House,"Rep. Jodey Arrington (R-TX-19), Rep. James Comer (R-KY-1), Rep. Kay Granger (R-TX-12), et al",,"Bill repeals several energy tax credits, modifies the permitting process and other requirements for energy projects, ",Domestic Critical Mineral Development
No Subsidies for Government Purchases of EVs Act,https://www.congress.gov/bill/118th-congress/house-bill/326,Of Concern,H.R. 326,House,"Rep. Ron Estes (R-KS-4), Rep. Jake LaTurner (R-KS-2), Rep. Tracey Mann (R-KS-1)",,This bill disallows a tax credit for qualified plug-in electric drive motor vehicles that are sold to the federal government or a state government.,EV Market Development
Close the Double Subsidy Loophole for EVs Act,https://www.congress.gov/bill/118th-congress/house-bill/327,Of Concern,H.R. 327,House,"Rep. Ron Estes (R-KS-4), Rep. Jake LaTurner (R-KS-2), Rep. Barry Moore (R-AL-2)",,This bill reduces the allowable amount of the tax credit for a new qualified plug-in electric drive motor vehicle by any subsidy made available by the state in which the vehicle is registered and was placed in service.,EV Market Development
Ending Duplicative Subsidies for EVs Act,https://www.congress.gov/bill/117th-congress/senate-bill/4939/,Of Concern,S. 4939,Senate,,"Sen, John Thune (R-SD), Sen. Bill Cassidy (R-LA), Sen. Steve Daines (R-MT), et al","This bill prohibits duplicative subsidies (i.e., loans, grants, or tax credits) for manufacturers of new clean electric vehicles.",American EV and Battery Manufacturing
Restoring Vehicle Market Freedom Act,https://www.congress.gov/bill/118th-congress/house-bill/3754,Of Concern,H.R. 3754,House,"Rep. Scott Perry (R-PA-10), Rep. Paul Gosar (R-AZ-9), Rep. Eric Burlison (R-MO-7), et al",,"This bill repeals the pre-owned EV credit, alternative motor vehicle credit, alternative fuel vehicle refueling credit, new EV credit, and the commerical clean vehicle credit",EV Market Development
DIRTY CAR EV Act,https://www.congress.gov/bill/118th-congress/senate-bill/1304,Of Concern,S. 1304,Senate,,"Sen. Rick Scott (R-FL), Sen. John Barrasso (R-WY), Sen. Mike Lee (R-UT), et al","To require the Comptroller General of the United States to conduct a study on the carbon footprint and environmental impacts of electric vehicles, and for other purposes.",American EV and Battery Manufacturing
No Fuel Credits for Batteries Act of 2023,https://www.congress.gov/bill/118th-congress/senate-bill/1741,Of Concern,S. 1741,Senate,,"Sen. Chuck Grassley (R-IA), Sen. John Cornyn (R-TX), Sen. John Thune (R-SD), et al","To amend the Clean Air Act to prohibit electric vehicle original equipment manufacturers from participating in the renewable fuel program, and for other purposes.",Performance and Emissions Standards
Stop EV Freeloading Act,https://www.congress.gov/bill/118th-congress/senate-bill/2882,Of Concern,S. 2882,Senate,,"Sen. Deb Fisher (R--NE), Sen. Pete Ricketts (R-NE), Sen. John Cornyn (R-TX), et al","The bill would impose a $1,000 fee on electric cars at the point of sale and a $550 fee on batteries over 1,000 pounds at the point of manufacture.",EV Market Development
End Taxpayer Subsidies for EVs Act,https://www.congress.gov/bill/118th-congress/senate-bill/3016,Of Concern,S. 3016,Senate,,Sen. Rand Paul (R-KY),The bill amends the Internal Revenue Code of 1986 to repeal the clean vehicle credit.,EV Market Development
Buy America Disapproval JR,https://www.congress.gov/bill/118th-congress/senate-joint-resolution/38,Of Concern,S.J. Res. 38,Senate,,"Sen. Marco Rubio (R-FL), Sen. Rick Scott (R-FL), Sen. Roger Marshall (R-KS), et al","A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Federal Highway Administration relating to ""Waiver of Buy America Requirements for Electric Vehicle Chargers"".",EV Charging Infrastructure Deployment